,genre
503,"SE,CP"
504,"SE,CP"
505,"RE,SE,CP"
506,"SE,CP"
507,"SE,MA"
508,SE
509,"RE,SE"
510,"SE,CP"
511,"SE,CP"
512,"SE,CP"
513,"SE,CP"
514,SE
515,"SE,CP"
516,"RE,SE"
517,"RE,SE,CP"
518,"RE,SE,CP"
519,"RE,SE"
520,SE
521,SE
522,"SE,CP"
523,"RE,SE,CP"
524,"RE,SE,CP"
525,CP
526,CP
527,"SE,CP"
528,"SE,CP"
529,SE
530,SE
531,"RE,SE,CP"
532,"SE,CP"
533,"SE,CP"
534,SE
535,"RE,SE"
536,"RE,SE,CP"
537,"RE,SE,MA,CP"
538,"RE,SE"
539,"SE,CP"
540,"SE,CP"
541,"RE,SE,CP"
542,"SE,CP"
543,"RE,SE,CP"
544,"SE,CP"
545,"RE,SE,CP"
546,"SE,CP"
547,SE
548,"RE,SE,CP"
549,"SE,CP"
550,"RE,SE"
551,"RE,SE,CP"
552,"SE,CP"
553,"SE,CP"
554,"RE,SE"
555,SE
556,"SE,CP"
557,SE
558,"SE,CP"
559,"RE,SE,CP"
560,"SE,CP"
561,"RE,SE,CP"
562,"RE,SE,CP"
563,"SE,CP"
564,"SE,CP"
565,"RE,SE,CP"
566,"SE,CP"
567,"RE,SE,CP"
568,"RE,SE,CP"
569,"SE,CP"
570,"RE,SE,CP"
571,"RE,SE,CP"
572,"SE,CP"
573,"SE,CP"
574,"SE,CP"
575,"SE,CP"
576,"SE,CP"
577,"RE,SE,CP"
578,"SE,CP"
579,"RE,SE,MA,CP"
580,MA
581,"SE,CP"
582,SE
583,"SE,CP"
584,"SE,CP"
585,"SE,CP"
586,"SE,MA,CP"
587,"RE,SE,CP"
588,SE
589,"RE,SE,CP"
590,"SE,MA"
591,"RE,SE,CP"
592,CP
593,"SE,MA,CP"
594,SE
595,"RE,SE,CP"
596,"RE,SE,CP"
597,"SE,CP"
598,"RE,SE,CP"
599,"SE,CP"
600,"RE,SE,CP"
601,"RE,SE"
602,"RE,SE,CP"
603,"RE,SE,CP"
604,"RE,SE,CP"
605,"SE,CP"
606,SE
607,SE
608,SE
609,"RE,SE,CP"
610,"RE,SE"
611,"RE,CP"
612,"RE,SE"
613,"RE,CP"
614,"RE,SE,CP"
615,"SE,CP"
616,"SE,CP"
617,"SE,CP"
618,"RE,SE"
619,"SE,CP"
620,"SE,CP"
621,"RE,SE"
622,CP
623,"RE,SE,MA,CP"
624,"SE,CP"
625,"RE,SE,CP"
626,SE
627,"SE,CP"
628,"RE,SE"
629,"RE,SE,CP"
630,"SE,CP"
631,SE
632,"SE,CP"
633,CP
634,"RE,SE"
635,SE
636,CP
637,"RE,SE,CP"
638,RE
639,"SE,CP"
640,"SE,MA"
641,"RE,SE"
642,"RE,SE,CP"
643,CP
644,"RE,SE,CP"
645,SE
646,SE
647,SE
648,"SE,CP"
649,"SE,CP"
650,"SE,CP"
651,"SE,CP"
652,"SE,CP"
653,"SE,MA"
654,"SE,MA"
655,"SE,CP"
656,"SE,CP"
657,"SE,CP"
658,"SE,CP"
659,"RE,SE,CP"
660,"RE,SE,MA"
661,"SE,CP"
662,"RE,SE"
663,"RE,SE,CP"
664,"SE,CP"
665,SE
666,"SE,MA"
667,"SE,CP"
668,CP
669,"SE,CP"
670,"SE,CP"
671,"MA,CP"
672,"RE,SE,CP"
673,"SE,CP"
674,SE
675,"RE,SE,CP"
676,"RE,SE,CP"
677,"RE,SE"
678,"RE,SE,CP"
679,SE
680,"SE,CP"
681,"SE,CP"
682,SE
683,"SE,CP"
684,"RE,SE,CP"
685,"SE,CP"
686,"RE,SE,CP"
687,"SE,CP"
688,"SE,MA,CP"
689,"RE,SE,CP"
690,"SE,CP"
691,CP
692,"RE,SE,CP"
693,"SE,CP"
694,"RE,SE,CP"
695,"RE,CP"
696,"SE,CP"
697,"SE,CP"
698,"SE,CP"
699,"RE,SE,CP"
700,SE
701,"RE,SE"
702,"RE,SE,CP"
703,SE
704,SE
705,"RE,SE,CP"
706,"RE,SE,CP"
707,"SE,CP"
708,"SE,CP"
709,"RE,SE,CP"
710,"RE,SE"
711,SE
712,SE
713,"RE,SE,CP"
714,"SE,CP"
715,"SE,CP"
716,SE
717,"RE,SE,CP"
718,"SE,CP"
719,"RE,SE,CP"
720,"SE,CP"
721,"SE,CP"
722,"SE,CP"
723,CP
724,"RE,SE,CP"
725,"SE,CP"
